	Rates				Time
351	130.889				23/05,20:59:23
352	130.889				23/05,20:59:33
353	130.889				23/05,20:59:44
354	130.889				23/05,20:59:54
355	133.58				23/05,21:00:04
356	133.58				23/05,21:00:14
357	133.58				23/05,21:00:25
358	133.316				23/05,21:00:35
359	133.316				23/05,21:00:45
360	133.316				23/05,21:00:55
